trip_id,driver_id,vehicle_id,source,destination,distance_km,load_kg,route,weather,traffic,fuel_used_l,co2_kg,fuel_cost,trip_date
T000036,D0457,V0098,Mandya,Belagavi,231.7,7848,Eco,Fog,Medium,24.35,57.08,2581.1,2026-01-02 12:00:00
T000037,D0238,V0173,Mandya,Hubballi,343.0,9420,Eco,Clear,Medium,43.49,81.87,3261.75,2026-01-02 13:00:00
T000038,D0106,V0018,Hubballi,Tumakuru,272.8,2153,Shortest,Clear,Low,17.27,40.69,1830.62,2026-01-02 14:00:00
T000039,D0307,V0198,Bengaluru,Mandya,186.3,5753,Fastest,Rain,High,37.36,84.59,3960.16,2026-01-02 15:00:00
T000040,D0483,V0165,Mandya,Hubballi,244.0,6744,Shortest,Clear,Medium,31.06,72.17,3292.36,2026-01-02 16:00:00
T000041,D0286,V0136,Mandya,Belagavi,172.8,2696,Eco,Fog,Medium,18.05,2.76,162.45,2026-01-02 17:00:00
T000042,D0097,V0195,Bengaluru,Hassan,144.5,9656,Fastest,Clear,Low,15.28,2.32,137.52,2026-01-02 18:00:00
T000043,D0283,V0083,Belagavi,Mysuru,249.6,5137,Eco,Fog,Low,46.59,91.91,3494.25,2026-01-02 19:00:00
T000044,D0212,V0012,Belagavi,Hubballi,297.1,9716,Fastest,Rain,Medium,33.32,75.79,3531.92,2026-01-02 20:00:00
T000045,D0391,V0126,Hubballi,Tumakuru,295.0,8537,Eco,Rain,Medium,27.19,50.24,2039.25,2026-01-02 21:00:00
T000046,D0212,V0036,Bengaluru,Belagavi,299.4,4291,Fastest,Clear,Low,38.68,87.57,4100.08,2026-01-02 22:00:00
T000047,D0258,V0179,Hubballi,Bengaluru,25.5,7554,Fastest,Rain,Low,2.02,4.73,214.12,2026-01-02 23:00:00
T000048,D0116,V0077,Mysuru,Hassan,336.6,1820,Shortest,Cloudy,High,28.16,54.04,2112.0,2026-01-03 00:00:00
T000049,D0440,V0025,Mandya,Bengaluru,185.0,9153,Fastest,Rain,High,18.82,2.83,169.38,2026-01-03 01:00:00
T000050,D0074,V0193,Bengaluru,Mandya,326.5,7025,Fastest,Cloudy,High,29.38,76.97,2791.1,2026-01-03 02:00:00
T000051,D0119,V0020,Mysuru,Mangaluru,266.0,6080,Shortest,Clear,Medium,46.01,7.01,414.09,2026-01-03 03:00:00
T000052,D0396,V0159,Hubballi,Hassan,81.3,5339,Fastest,Fog,Low,9.56,21.54,1013.36,2026-01-03 04:00:00
T000053,D0053,V0034,Mysuru,Bengaluru,21.7,1930,Fastest,Rain,Medium,2.06,4.0,154.5,2026-01-03 05:00:00
T000054,D0372,V0144,Mangaluru,Belagavi,147.1,4477,Shortest,Fog,Low,19.65,55.67,1866.75,2026-01-03 06:00:00
T000055,D0484,V0064,Tumakuru,Hassan,118.9,8623,Shortest,Rain,Medium,9.87,26.65,937.65,2026-01-03 07:00:00
T000056,D0165,V0155,Mangaluru,Hassan,130.5,3790,Eco,Cloudy,Medium,21.0,49.08,2226.0,2026-01-03 08:00:00
T000057,D0103,V0152,Hubballi,Mandya,289.4,9439,Fastest,Clear,High,28.34,53.32,2125.5,2026-01-03 09:00:00
T000058,D0338,V0040,Hubballi,Mangaluru,184.8,7432,Eco,Cloudy,Medium,15.32,2.21,137.88,2026-01-03 10:00:00
T000059,D0332,V0157,Mysuru,Bengaluru,273.8,1225,Shortest,Rain,Low,19.8,2.93,178.2,2026-01-03 11:00:00
T000060,D0013,V0124,Hassan,Tumakuru,143.5,2212,Eco,Cloudy,Medium,24.06,44.71,1804.5,2026-01-03 12:00:00
T000061,D0035,V0077,Belagavi,Mandya,177.1,1232,Shortest,Fog,Medium,13.69,25.26,1026.75,2026-01-03 13:00:00
T000062,D0095,V0048,Mangaluru,Tumakuru,160.7,7580,Eco,Fog,High,18.11,35.59,1358.25,2026-01-03 14:00:00
T000063,D0167,V0051,Mysuru,Mangaluru,53.6,7996,Fastest,Cloudy,Medium,12.11,1.83,108.99,2026-01-03 15:00:00
T000064,D0303,V0022,Belagavi,Tumakuru,76.9,2694,Eco,Rain,High,8.5,22.95,807.5,2026-01-03 16:00:00
T000065,D0086,V0126,Hubballi,Hassan,81.3,5232,Fastest,Cloudy,High,7.35,13.88,551.25,2026-01-03 17:00:00
T000066,D0086,V0022,Belagavi,Hassan,245.9,9763,Fastest,Fog,Medium,30.02,80.18,2851.9,2026-01-03 18:00:00
T000067,D0422,V0094,Belagavi,Tumakuru,188.6,9380,Fastest,Rain,High,28.98,79.16,2753.1,2026-01-03 19:00:00
T000068,D0108,V0189,Tumakuru,Mandya,304.5,6244,Shortest,Clear,Low,50.63,96.13,3797.25,2026-01-03 20:00:00
T000069,D0461,V0174,Mandya,Hassan,343.1,2060,Fastest,Rain,High,42.16,98.42,4468.96,2026-01-03 21:00:00
T000070,D0073,V0148,Mandya,Hubballi,126.3,4902,Shortest,Fog,Medium,11.0,25.31,1166.0,2026-01-03 22:00:00
T000071,D0498,V0118,Belagavi,Mandya,212.0,6369,Fastest,Clear,High,15.82,29.85,1186.5,2026-01-03 23:00:00
T000072,D0051,V0161,Belagavi,Hubballi,133.4,8029,Fastest,Clear,Low,13.07,24.13,980.25,2026-01-04 00:00:00
T000073,D0185,V0065,Tumakuru,Mysuru,308.6,1850,Eco,Clear,High,54.82,121.63,5810.92,2026-01-04 01:00:00
T000074,D0349,V0114,Mysuru,Bengaluru,90.4,652,Fastest,Cloudy,High,7.22,19.25,685.9,2026-01-04 02:00:00
T000075,D0397,V0193,Mysuru,Bengaluru,123.4,2681,Shortest,Cloudy,Medium,8.75,23.48,831.25,2026-01-04 03:00:00
T000076,D0460,V0026,Mandya,Tumakuru,223.3,2793,Fastest,Cloudy,Low,14.12,2.06,127.08,2026-01-04 04:00:00
T000077,D0266,V0156,Tumakuru,Belagavi,330.6,8848,Fastest,Rain,Low,23.52,54.29,2493.12,2026-01-04 05:00:00
T000078,D0280,V0175,Bengaluru,Hassan,328.2,3330,Eco,Fog,Medium,33.45,5.02,301.05,2026-01-04 06:00:00
T000079,D0360,V0103,Hubballi,Tumakuru,114.5,1850,Shortest,Fog,Medium,21.78,55.85,2069.1,2026-01-04 07:00:00
T000080,D0126,V0023,Mysuru,Hassan,250.6,7618,Fastest,Cloudy,Low,50.31,93.84,3773.25,2026-01-04 08:00:00
T000081,D0191,V0033,Bengaluru,Mandya,183.8,4903,Shortest,Rain,Low,19.14,2.89,172.26,2026-01-04 09:00:00
T000082,D0086,V0095,Mysuru,Tumakuru,170.2,3077,Eco,Fog,High,37.33,5.64,335.97,2026-01-04 10:00:00
T000083,D0477,V0010,Bengaluru,Mandya,35.2,9558,Shortest,Cloudy,Low,4.31,0.63,38.79,2026-01-04 11:00:00
T000084,D0412,V0133,Mangaluru,Bengaluru,185.7,1252,Eco,Cloudy,Low,13.06,24.89,979.5,2026-01-04 12:00:00
T000085,D0376,V0140,Tumakuru,Hubballi,225.5,4516,Fastest,Fog,Low,35.04,95.83,3328.8,2026-01-04 13:00:00
T000086,D0122,V0108,Hubballi,Belagavi,263.6,8561,Fastest,Cloudy,High,24.85,3.79,223.65,2026-01-04 14:00:00
T000087,D0420,V0101,Belagavi,Mangaluru,48.0,1726,Shortest,Cloudy,High,4.18,7.93,313.5,2026-01-04 15:00:00
T000088,D0400,V0198,Mangaluru,Mandya,169.4,2285,Fastest,Cloudy,Low,24.14,55.24,2558.84,2026-01-04 16:00:00
T000089,D0428,V0084,Mysuru,Bengaluru,72.0,2930,Fastest,Clear,Low,5.72,15.14,543.4,2026-01-04 17:00:00
T000090,D0412,V0036,Belagavi,Tumakuru,266.9,2489,Fastest,Fog,Low,40.93,95.43,4338.58,2026-01-04 18:00:00
T000091,D0034,V0051,Mysuru,Mangaluru,213.4,7765,Fastest,Clear,Low,43.89,6.61,395.01,2026-01-04 19:00:00
T000092,D0219,V0045,Hubballi,Belagavi,259.1,6299,Fastest,Fog,High,40.93,78.75,3069.75,2026-01-04 20:00:00
T000093,D0330,V0135,Belagavi,Bengaluru,48.9,4582,Shortest,Fog,Low,6.46,17.36,613.7,2026-01-04 21:00:00
T000094,D0459,V0200,Hubballi,Mandya,79.3,5102,Fastest,Cloudy,Low,5.99,16.32,569.05,2026-01-04 22:00:00
T000095,D0479,V0045,Bengaluru,Belagavi,348.8,3385,Fastest,Fog,Medium,43.84,83.45,3288.0,2026-01-04 23:00:00
T000096,D0159,V0045,Hassan,Belagavi,346.0,8535,Fastest,Fog,High,53.71,103.65,4028.25,2026-01-05 00:00:00
T000097,D0012,V0038,Mangaluru,Hubballi,78.6,2820,Fastest,Rain,Low,6.81,18.57,646.95,2026-01-05 01:00:00
T000098,D0492,V0125,Mangaluru,Mysuru,342.0,5698,Fastest,Fog,High,41.48,94.28,4396.88,2026-01-05 02:00:00
T000099,D0017,V0047,Tumakuru,Mysuru,78.6,5713,Shortest,Fog,High,14.64,2.12,131.76,2026-01-05 03:00:00
T000100,D0006,V0068,Mysuru,Belagavi,254.0,3935,Fastest,Rain,Medium,30.51,72.65,3234.06,2026-01-05 04:00:00
T000101,D0425,V0123,Hubballi,Hassan,311.0,9970,Shortest,Fog,Low,23.75,63.98,2256.25,2026-01-05 05:00:00
T000102,D0305,V0158,Mandya,Tumakuru,73.1,8409,Shortest,Clear,Medium,5.74,10.53,430.5,2026-01-05 06:00:00
T000103,D0293,V0141,Tumakuru,Hubballi,112.9,8543,Fastest,Clear,Medium,15.82,29.63,1186.5,2026-01-05 07:00:00
T000104,D0402,V0102,Mandya,Hubballi,116.3,8215,Eco,Clear,Medium,26.08,61.17,2764.48,2026-01-05 08:00:00
T000105,D0032,V0039,Tumakuru,Hassan,173.5,2084,Fastest,Rain,High,19.84,37.49,1488.0,2026-01-05 09:00:00
T000106,D0463,V0183,Belagavi,Tumakuru,310.9,1068,Shortest,Clear,Medium,52.78,7.84,475.02,2026-01-05 10:00:00
T000107,D0422,V0161,Hassan,Mysuru,34.1,2922,Shortest,Fog,Low,3.44,6.72,258.0,2026-01-05 11:00:00
T000108,D0213,V0039,Belagavi,Hubballi,24.1,2928,Shortest,Fog,Low,2.51,4.67,188.25,2026-01-05 12:00:00
T000109,D0089,V0071,Hubballi,Mandya,146.4,7102,Fastest,Fog,Low,14.45,27.02,1083.75,2026-01-05 13:00:00
T000110,D0144,V0126,Belagavi,Mandya,316.0,2109,Fastest,Rain,Medium,23.11,44.09,1733.25,2026-01-05 14:00:00
T000111,D0264,V0041,Hubballi,Mangaluru,179.9,1575,Eco,Rain,Low,19.61,45.65,2078.66,2026-01-05 15:00:00
T000112,D0189,V0119,Bengaluru,Tumakuru,36.7,8775,Eco,Cloudy,Medium,3.22,8.72,305.9,2026-01-05 16:00:00
T000113,D0015,V0099,Mangaluru,Mandya,74.0,1313,Fastest,Clear,Medium,5.16,12.14,546.96,2026-01-05 17:00:00
T000114,D0467,V0034,Bengaluru,Belagavi,277.5,3337,Shortest,Clear,Medium,24.72,47.15,1854.0,2026-01-05 18:00:00
T000115,D0053,V0002,Mangaluru,Hassan,103.2,8880,Shortest,Fog,High,12.71,29.65,1347.26,2026-01-05 19:00:00
T000116,D0365,V0167,Mangaluru,Mandya,231.4,5395,Fastest,Rain,High,52.41,120.44,5555.46,2026-01-05 20:00:00
T000117,D0019,V0150,Belagavi,Mandya,105.6,9872,Fastest,Fog,High,13.81,2.07,124.29,2026-01-05 21:00:00
T000118,D0414,V0144,Mandya,Hassan,52.2,3499,Shortest,Rain,High,8.14,21.86,773.3,2026-01-05 22:00:00
T000119,D0028,V0163,Mangaluru,Mandya,213.2,1666,Eco,Clear,Medium,20.02,53.88,1901.9,2026-01-05 23:00:00
T000120,D0162,V0184,Mandya,Mysuru,133.1,3454,Fastest,Fog,Low,12.43,1.89,111.87,2026-01-06 00:00:00
T000121,D0315,V0112,Mandya,Mangaluru,272.3,7535,Eco,Clear,Low,16.52,2.51,148.68,2026-01-06 01:00:00
T000122,D0356,V0089,Hassan,Bengaluru,243.3,5613,Fastest,Cloudy,Low,23.83,3.58,214.47,2026-01-06 02:00:00
T000123,D0184,V0193,Mangaluru,Hassan,313.0,3587,Fastest,Rain,Medium,24.79,65.36,2355.05,2026-01-06 03:00:00
T000124,D0449,V0164,Mandya,Bengaluru,141.0,4690,Shortest,Clear,Medium,15.44,2.32,138.96,2026-01-06 04:00:00
T000125,D0356,V0176,Belagavi,Hassan,60.8,652,Eco,Cloudy,Low,4.75,12.72,451.25,2026-01-06 05:00:00
T000126,D0103,V0200,Mysuru,Hassan,57.6,4808,Shortest,Cloudy,High,5.4,14.53,513.0,2026-01-06 06:00:00
T000127,D0343,V0127,Mangaluru,Mysuru,20.9,2943,Fastest,Clear,High,2.21,4.38,165.75,2026-01-06 07:00:00
T000128,D0411,V0174,Mysuru,Belagavi,77.7,5623,Eco,Rain,Medium,8.48,19.38,898.88,2026-01-06 08:00:00
T000129,D0206,V0103,Tumakuru,Hubballi,50.7,7979,Eco,Cloudy,Low,7.81,21.11,741.95,2026-01-06 09:00:00
T000130,D0348,V0113,Bengaluru,Belagavi,72.6,3469,Shortest,Fog,High,8.86,1.36,79.74,2026-01-06 10:00:00
T000131,D0361,V0174,Hubballi,Hassan,35.2,9098,Shortest,Rain,Low,3.65,8.45,386.9,2026-01-06 11:00:00
T000132,D0457,V0157,Belagavi,Mandya,239.0,1394,Fastest,Cloudy,High,19.19,3.01,172.71,2026-01-06 12:00:00
T000133,D0419,V0061,Mangaluru,Mandya,36.6,1791,Eco,Fog,Medium,7.22,16.55,765.32,2026-01-06 13:00:00
T000134,D0494,V0159,Hubballi,Hassan,31.8,5490,Shortest,Clear,High,3.76,8.74,398.56,2026-01-06 14:00:00
T000135,D0389,V0169,Belagavi,Mangaluru,236.9,4133,Fastest,Clear,Low,15.46,2.28,139.14,2026-01-06 15:00:00
T000136,D0313,V0051,Mandya,Belagavi,256.6,3572,Fastest,Clear,Medium,51.34,7.65,462.06,2026-01-06 16:00:00
T000137,D0003,V0136,Mysuru,Belagavi,314.3,1295,Shortest,Cloudy,Medium,27.5,4.15,247.5,2026-01-06 17:00:00
T000138,D0312,V0178,Hubballi,Mangaluru,218.2,4567,Eco,Fog,Medium,17.94,34.66,1345.5,2026-01-06 18:00:00
T000139,D0108,V0160,Mangaluru,Hubballi,263.2,5260,Shortest,Cloudy,Low,20.28,38.78,1521.0,2026-01-06 19:00:00
T000140,D0383,V0137,Belagavi,Tumakuru,208.3,5184,Eco,Fog,High,27.04,64.04,2866.24,2026-01-06 20:00:00
T000141,D0402,V0076,Mandya,Hassan,245.5,3842,Shortest,Clear,High,45.94,6.88,413.46,2026-01-06 21:00:00
T000142,D0341,V0013,Hassan,Mangaluru,278.8,6751,Eco,Rain,High,45.34,104.04,4806.04,2026-01-06 22:00:00
T000143,D0280,V0190,Belagavi,Hubballi,94.4,3718,Shortest,Rain,High,8.58,24.24,815.1,2026-01-06 23:00:00
T000144,D0434,V0066,Bengaluru,Tumakuru,112.1,592,Eco,Cloudy,High,10.07,1.52,90.63,2026-01-07 00:00:00
T000145,D0267,V0018,Mangaluru,Bengaluru,278.7,8776,Fastest,Cloudy,Low,20.43,46.51,2165.58,2026-01-07 01:00:00
T000146,D0343,V0089,Belagavi,Tumakuru,291.8,7801,Fastest,Clear,Low,27.89,4.13,251.01,2026-01-07 02:00:00
T000147,D0412,V0131,Hubballi,Mandya,198.3,7800,Eco,Rain,High,21.71,57.09,2062.45,2026-01-07 03:00:00
T000148,D0218,V0027,Bengaluru,Hubballi,41.6,3868,Shortest,Cloudy,High,5.47,0.84,49.23,2026-01-07 04:00:00
T000149,D0407,V0065,Belagavi,Mangaluru,129.5,9643,Fastest,Clear,Low,24.31,55.75,2576.86,2026-01-07 05:00:00
T000150,D0300,V0012,Mysuru,Mangaluru,21.9,1689,Eco,Clear,High,2.09,4.84,221.54,2026-01-07 06:00:00
T000151,D0152,V0163,Bengaluru,Tumakuru,71.6,2860,Eco,Fog,High,9.01,24.12,855.95,2026-01-07 07:00:00
T000152,D0108,V0192,Mysuru,Bengaluru,21.7,6133,Fastest,Clear,Medium,1.66,0.25,14.94,2026-01-07 08:00:00
T000153,D0282,V0019,Bengaluru,Belagavi,267.8,5262,Shortest,Fog,High,51.55,135.81,4897.25,2026-01-07 09:00:00
T000154,D0231,V0085,Mysuru,Hassan,224.4,5508,Shortest,Rain,Medium,20.76,46.92,2200.56,2026-01-07 10:00:00
T000155,D0237,V0115,Hubballi,Mandya,297.2,6377,Eco,Rain,Medium,39.03,5.88,351.27,2026-01-07 11:00:00
T000156,D0297,V0104,Mysuru,Hubballi,44.9,3985,Fastest,Clear,High,5.92,0.9,53.28,2026-01-07 12:00:00
T000157,D0258,V0003,Tumakuru,Mysuru,173.4,4413,Shortest,Fog,Medium,18.7,50.45,1776.5,2026-01-07 13:00:00
T000158,D0190,V0060,Mangaluru,Bengaluru,92.2,1201,Shortest,Clear,Medium,8.53,1.26,76.77,2026-01-07 14:00:00
T000159,D0335,V0097,Tumakuru,Belagavi,264.8,6485,Shortest,Cloudy,Medium,47.33,110.81,5016.98,2026-01-07 15:00:00
T000160,D0452,V0036,Mangaluru,Hassan,281.6,7707,Fastest,Clear,High,41.9,95.35,4441.4,2026-01-07 16:00:00
T000161,D0246,V0123,Hassan,Tumakuru,287.7,3952,Shortest,Fog,High,23.85,63.25,2265.75,2026-01-07 17:00:00
T000162,D0497,V0145,Mandya,Bengaluru,74.9,805,Shortest,Fog,High,9.58,25.19,910.1,2026-01-07 18:00:00
T000163,D0338,V0131,Hubballi,Tumakuru,67.1,4833,Fastest,Cloudy,High,7.27,19.99,690.65,2026-01-07 19:00:00
T000164,D0311,V0025,Hassan,Mangaluru,303.7,3406,Eco,Fog,Low,23.33,3.54,209.97,2026-01-07 20:00:00
T000165,D0448,V0012,Bengaluru,Belagavi,243.9,9180,Eco,Fog,Medium,29.66,69.34,3143.96,2026-01-07 21:00:00
T000166,D0097,V0002,Hassan,Belagavi,47.7,616,Shortest,Fog,Medium,4.34,10.28,460.04,2026-01-07 22:00:00
T000167,D0188,V0157,Hubballi,Mangaluru,213.2,5014,Shortest,Fog,High,22.63,3.59,203.67,2026-01-07 23:00:00
T000168,D0118,V0115,Hubballi,Mangaluru,65.6,3150,Fastest,Clear,High,7.91,1.15,71.19,2026-01-08 00:00:00
T000169,D0033,V0068,Bengaluru,Belagavi,50.1,4133,Eco,Fog,Low,6.07,13.81,643.42,2026-01-08 01:00:00
T000170,D0018,V0154,Mandya,Hubballi,183.1,8864,Shortest,Rain,Low,28.67,65.41,3039.02,2026-01-08 02:00:00
T000171,D0008,V0189,Hubballi,Mandya,241.0,1624,Fastest,Cloudy,High,45.97,85.86,3447.75,2026-01-08 03:00:00
T000172,D0055,V0144,Belagavi,Hassan,209.7,1685,Shortest,Fog,High,33.33,87.4,3166.35,2026-01-08 04:00:00
T000173,D0236,V0151,Belagavi,Hubballi,100.3,948,Eco,Fog,High,8.81,1.31,79.29,2026-01-08 05:00:00
T000174,D0345,V0192,Bengaluru,Hubballi,294.6,6103,Fastest,Clear,Medium,22.38,3.28,201.42,2026-01-08 06:00:00
T000175,D0106,V0059,Hassan,Tumakuru,263.2,3822,Fastest,Cloudy,Medium,32.09,61.38,2406.75,2026-01-08 07:00:00
T000176,D0445,V0071,Bengaluru,Belagavi,179.2,8541,Fastest,Fog,High,21.02,39.98,1576.5,2026-01-08 08:00:00
T000177,D0500,V0031,Belagavi,Tumakuru,30.7,8990,Eco,Cloudy,Medium,2.52,6.82,239.4,2026-01-08 09:00:00
T000178,D0095,V0128,Mandya,Mangaluru,106.7,7445,Fastest,Rain,Medium,25.57,49.08,1917.75,2026-01-08 10:00:00
T000179,D0101,V0038,Mysuru,Hubballi,109.1,2950,Eco,Fog,Medium,11.51,31.22,1093.45,2026-01-08 11:00:00
T000180,D0244,V0162,Bengaluru,Tumakuru,52.7,2077,Eco,Cloudy,Medium,9.61,1.43,86.49,2026-01-08 12:00:00
T000181,D0182,V0084,Mangaluru,Belagavi,244.3,8863,Eco,Cloudy,Medium,24.72,69.06,2348.4,2026-01-08 13:00:00
T000182,D0083,V0088,Mangaluru,Hassan,228.3,4239,Eco,Clear,Low,34.2,92.09,3249.0,2026-01-08 14:00:00
T000183,D0121,V0170,Belagavi,Hassan,75.2,4622,Shortest,Cloudy,High,16.99,31.08,1274.25,2026-01-08 15:00:00
T000184,D0080,V0022,Hubballi,Tumakuru,272.4,6887,Eco,Rain,High,33.48,87.93,3180.6,2026-01-08 16:00:00
T000185,D0228,V0035,Mangaluru,Belagavi,177.1,9335,Fastest,Rain,High,37.14,5.38,334.26,2026-01-08 17:00:00
T000186,D0006,V0001,Mysuru,Tumakuru,121.6,9074,Fastest,Cloudy,Medium,27.64,52.53,2073.0,2026-01-08 18:00:00
T000187,D0211,V0144,Tumakuru,Mangaluru,96.3,7661,Eco,Rain,Low,12.4,33.15,1178.0,2026-01-08 19:00:00
T000188,D0097,V0018,Tumakuru,Mandya,234.0,3488,Fastest,Rain,Medium,18.87,43.18,2000.22,2026-01-08 20:00:00
T000189,D0065,V0184,Bengaluru,Mangaluru,27.3,7683,Shortest,Rain,Medium,2.72,0.42,24.48,2026-01-08 21:00:00
T000190,D0137,V0199,Belagavi,Mangaluru,281.2,6929,Fastest,Cloudy,Low,23.25,54.3,2464.5,2026-01-08 22:00:00
T000191,D0395,V0025,Belagavi,Mysuru,263.4,9038,Shortest,Fog,High,29.52,4.49,265.68,2026-01-08 23:00:00
T000192,D0112,V0029,Tumakuru,Hassan,230.7,4366,Shortest,Clear,High,18.92,2.79,170.28,2026-01-09 00:00:00
T000193,D0081,V0128,Belagavi,Mangaluru,216.8,1997,Shortest,Clear,Low,35.85,66.75,2688.75,2026-01-09 01:00:00
T000194,D0376,V0050,Mandya,Tumakuru,96.8,849,Shortest,Rain,Medium,7.66,14.56,574.5,2026-01-09 02:00:00
T000195,D0469,V0142,Mandya,Mangaluru,134.7,3127,Fastest,Rain,High,13.23,1.99,119.07,2026-01-09 03:00:00
T000196,D0370,V0017,Mandya,Bengaluru,224.5,9330,Eco,Cloudy,Medium,25.44,56.58,2696.64,2026-01-09 04:00:00
T000197,D0448,V0009,Mysuru,Mangaluru,237.4,3810,Fastest,Cloudy,Low,17.82,41.02,1888.92,2026-01-09 05:00:00
T000198,D0336,V0126,Bengaluru,Hassan,92.8,1810,Eco,Clear,Low,5.9,11.21,442.5,2026-01-09 06:00:00
T000199,D0372,V0060,Mysuru,Belagavi,120.3,9210,Eco,Clear,Low,11.67,1.74,105.03,2026-01-09 07:00:00
T000200,D0406,V0047,Mangaluru,Hubballi,171.4,9510,Eco,Clear,Low,23.73,3.5,213.57,2026-01-09 08:00:00
T000201,D0124,V0145,Hubballi,Belagavi,229.0,9439,Fastest,Rain,High,33.97,90.06,3227.15,2026-01-09 09:00:00
